Metadata for Doing Business indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Indicator,Long definition,Index,usb_index,pillar,sub_pillar,sub_sub_pillar,indicator,sub_indicator,unit_2,,,,,,,,,,,,,,,
Trading across borders,Score-Time to export: Documentary compliance (hours) (DB16-20 methodology),"The score for the time for documentary compliance to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to export: Documentary compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Time to import: Documentary compliance (hours) (DB16-20 methodology),"The time for documentary compliance to import records the time associated with compliance with the import documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. It is calculated in hours. It  includes the time for obtaining documents, preparing documents, processing documents, presenting documents and submitting documents. All electronic or paper submissions of information requested by any government agency in connection with the shipment are considered to be documents obtained, prepared and submitted during the import process. All documents prepared by the freight forwarder or customs broker for the product and partner pair assumed in the case study are included regardless of whether they are required by law or in practice. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Time to import: Documentary compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Time to import: Documentary compliance (hours) (DB16-20 methodology),"The score for the time for documentary compliance to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to import: Documentary compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Time to export: Border compliance (hours) (DB16-20 methodology),"The time for border compliance to export records the time associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the export shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. It is calulcated in hours. The time for this segment includes time for customs clearance and inspection procedures conducted by other agencies. If all customs clearance and other inspections take place at the port or border at the same time, the time estimate for border compliance takes this simultaneity into account. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Time to export: Border compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Time to export: Border compliance (hours) (DB16-20 methodology),"The score for the time for border compliance to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to export: Border compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Time to import: Border compliance (hours) (DB16-20 methodology),"The time for border compliance to import records the time associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the import shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. It is calculate in hours. The time for this segment includes time for customs clearance and inspection procedures conducted by other agencies. If all customs clearance and other inspections take place at the port or border at the same time, the time estimate for border compliance takes this simultaneity into account. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Time to import: Border compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Time to import: Border compliance (hours) (DB16-20 methodology),"The score for the time for border compliance to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to import: Border compliance (hours) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to export: Documentary compliance (USD) (DB16-20 methodology),"The cost for documentary compliance to export records the cost associated with compliance with the export documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. It is calculated in UD dollars. The cost for documentary compliance includes the cost for obtaining, preparing, processing, presenting and submitting documents. Insurance cost and informal payments for which no receipt is issued are excluded from the costs recorded. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to export: Documentary compliance (USD) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to export: Documentary compliance (USD) (DB16-20 methodology),"The score for the cost for documentary compliance to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to export: Documentary compliance (USD),,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to import: Documentary compliance (USD) (DB16-20 methodology),"The cost for documentary compliance to import records the cost associated with compliance with the import documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. It is calculated in US dollars. The cost for documentary compliance includes the cost for obtaining, preparing, processing, presenting and submitting documents. Insurance cost and informal payments for which no receipt is issued are excluded from the costs recorded. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to import: Documentary compliance (USD) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to import: Documentary compliance (USD) (DB16-20 methodology),"The score for the cost for documentary compliance to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to import: Documentary compliance (USD),,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to export: Border compliance (USD) (DB16-20 methodology),"The cost for border compliance to export records the cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the export shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. It is calculated in US dollars. The cost for this segment include the cost for customs clearance and inspection procedures conducted by other agencies. For example, the cost for conducting a phytosanitary inspection would be included here. Informal payments for which no receipt is issued are excluded from the costs recorded. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to export: Border compliance (USD),,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to export: Border compliance (USD) (DB16-20 methodology),"The score for the cost for border compliance to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to export: Border compliance (USD),,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to import: Border compliance (USD) (DB16-20 methodology),"The cost for border compliance to import records the cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the import shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. It is calculated in US dollars. The cost for this segment include the cost for customs clearance and inspection procedures conducted by other agencies. For example, the cost for conducting a technical standard inspection would be included here. Informal payments for which no receipt is issued are excluded from the costs recorded. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to import: Border compliance (USD) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to import: Border compliance (USD) (DB16-20 methodology),"The score for the cost for border compliance to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to import: Border compliance (USD) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Documents to export (number) (DB06-15 methodology),"The number of documents to export records the number of documents required by law or common practice by relevant agencies per export shipment. All documents required by law or common practice by relevant agencies—including government ministries, customs authorities, port authorities and other control agencies—per export shipment are taken into account. For landlocked economies, documents required by authorities in the transit economy are also included. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are requested at the time of clearance but that are valid for a year or longer or do not require renewal per shipment (for example, an annual tax clearance certificate) are not included. Documents that are required by customs authorities purely for purposes of preferential treatment but are not required for any other purpose by any of the authorities in the process of trading are not included. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Documents to export (number),,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Documents to export (number) (DB06-15 methodology),"The score for the number of documents to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Documents to export (number),,Score,,,,,,,,,,,,,,,
Trading across borders,Documents to import (number) (DB06-15 methodology),"The number of documents to import records the number of documents required by law or common practice by relevant agencies per import shipment. All documents required by law or common practice by relevant agencies—including government ministries, customs authorities, port authorities and other control agencies—per import shipment are taken into account. For landlocked economies, documents required by authorities in the transit economy are also included. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are requested at the time of clearance but that are valid for a year or longer or do not require renewal per shipment (for example, an annual tax clearance certificate) are not included. Documents that are required by customs authorities purely for purposes of preferential treatment but are not required for any other purpose by any of the authorities in the process of trading are not included. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Documents to import (number) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Documents to import (number) (DB06-15 methodology),"The score for the number of documents to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Documents to import (number) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to export (US$ per container deflated) (DB06-15 methodology),"The cost to export records the cost associated with exporting a standardized cargo of goods by sea transport through 4 predefined stages: document preparation; customs clearance and inspections; inland transport and handling; and port and terminal handling. It is calculated in US dollars per container deflated. Cost measures the fees levied on the export of goods in a 20-foot container, in US dollars. All fees charged by government agencies and the private sector to a trader in the process of exporting and importing the goods are taken into account. These include but are not limited to costs for documents, administrative fees for customs clearance and inspections, customs broker fees, port-related charges and inland transport costs. Only official costs are recorded. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to export (US$ per container deflated) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to export (US$ per container deflated) (DB06-15 methodology),"The score for the cost to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to export (US$ per container deflated) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Cost to import (US$ per container deflated) (DB06-15 methodology),"The cost to import records the cost associated with importing a standardized cargo of goods by sea transport through 4 predefined stages: document preparation; customs clearance and inspections; inland transport and handling; and port and terminal handling. It is calculated in US dollars per container deflated. Cost measures the fees levied on import of goods in a 20-foot container, in US dollars. All fees charged by government agencies and the private sector to a trader in the process of exporting and importing the goods are taken into account. These include but are not limited to costs for documents, administrative fees for customs clearance and inspections, customs broker fees, port-related charges and inland transport costs. Only official costs are recorded. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Cost to import (US$ per container deflated),,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Cost to import (US$ per container deflated) (DB06-15 methodology),"The score for the cost to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Cost to import (US$ per container deflated),,Score,,,,,,,,,,,,,,,
Trading across borders,Time to export (days) (DB06-15 methodology),"The time to export records the time associated with exporting a standardized cargo of goods by sea transport through 4 predefined stages: document preparation; customs clearance and inspections; inland transport and handling; and port and terminal handling. It is calculated in calendar days. The time calculation for each of the 4 predefined stages starts from the moment the stage is initiated and runs until it is completed. Fast-track procedures applying only to firms located in an export processing zone, or only to certain accredited firms under authorized economic operator programs, are not taken into account because they are not available to all trading companies. Sea transport time is not included. It is assumed that neither the exporter nor the importer wastes time and that each commits to completing the process without delay. It is assumed that document preparation, inland transport and handling, customs clearance and inspections, and port and terminal handling require a minimum time of 1 day each and cannot take place simultaneously. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Time to export (days) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Time to export (days) (DB06-15 methodology),"The score for the time to export benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to export (days) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Time to import (days) (DB06-15 methodology),"The time to import records the time associated with importing a standardized cargo of goods by sea transport through 4 predefined stages: document preparation; customs clearance and inspections; inland transport and handling; and port and terminal handling. It is calulcated in calendar days. The time calculation for each of the 4 predefined stages starts from the moment the stage is initiated and runs until it is completed. Fast-track procedures applying only to certain accredited firms under authorized economic operator programs are not taken into account because they are not available to all trading companies. Sea transport time is not included. It is assumed that neither the exporter nor the importer wastes time and that each commits to completing the process without delay. It is assumed that document preparation, inland transport and handling, customs clearance and inspections, and port and terminal handling require a minimum time of 1 day each and cannot take place simultaneously. The component indicator is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Time to import (days) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Time to import (days) (DB06-15 methodology),"The score for the time to import benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders,,,Score-Time to import (days) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Rank-Enforcing contracts,The ranking of economies on the ease of enforcing contracts is determined by sorting their scores for enforcing contracts. ,Ease of Doing Business ,,Enforcing contracts,,,,,Rank,,,,,,,,,,,,,,,
Enforcing contracts,Score-Enforcing contracts (DB17-20 methodology),"The score for enforcing contracts is the simple average of the scores for each of the component indicators: the time and cost for resolving a commercial dispute through a local first-instance court, as well as the quality of judicial processes that promotes quality and efficiency in the court system. The score is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Enforcing contracts (DB17-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Score-Enforcing contracts (DB04-15 methodology),"The score for enforcing contracts is the simple average of the scores for each of the component indicators: the procedures, time and cost for resolving a commercial dispute through a local first-instance court. The score is computed based on the methodology in the DB04-15 studies.",Ease of Doing Business ,,Enforcing contracts (DB04-15 methodology),,,,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Procedures (number) (DB04-15 methodology),"The procedures to enforce contracts records the list of procedural steps compiled for each economy that traces the chronology of a commercial dispute before the relevant court. A procedure is defined as any interaction, required by law or commonly carried out in practice, between the parties or between them and the judge or court officer. The component indicator is computed based on the methodology in the DB04-15 studies.",Ease of Doing Business ,,Enforcing contracts,,,Procedures (number) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Score-Procedures (number) (DB04-15 methodology),"The score for procedures to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB04-15 studies.",Ease of Doing Business ,,Enforcing contracts,,,Score-Procedures (number) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Time (days),"The time to enforce contracts is recorded in calendar days, counted from the moment plaintiff decides to file the lawsuit in court until payment. The average duration of the following three different stages of dispute resolution is recorded: (i) filing and service, (ii) trial and judgment, and (iii) enforcement.",Ease of Doing Business ,,Enforcing contracts,,,Time (days),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Score-Time (days),"The score for time to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Enforcing contracts,,,Score-Time (days),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Filing and service (days),The time for filing and service captures the time from the moment plaintiff decides to sue until defendant is served.,Ease of Doing Business ,,Enforcing contracts,,,Filing and service (days),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Trial and judgment (days),The time for trial and judgment captures the time from the moment defendant is served until the time to appeal has elapsed.,Ease of Doing Business ,,Enforcing contracts,,,Trial and judgment (days),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Enforcement of judgment (days),The time for enforcement of judgment captures the time from the moment the time to appeal has elapsed until the money is recovered by the winning party.,Ease of Doing Business ,,Enforcing contracts,,,Enforcement of judgment (days),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Cost (% of claim),"The cost to enforce contracts is recorded as a percentage of the claim value, assumed to be equivalent to 200% of income per capita or $5,000, whichever is greater. Three types of costs are recorded: average attorney fees, court costs and enforcement costs. Bribes are not taken into account.",Ease of Doing Business ,,Enforcing contracts,,,Cost (% of claim),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Score-Cost (% of claim),"The score for cost to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Enforcing contracts,,,Score-Cost (% of claim),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Attorney fees (% of claim),"The attorney fees are the fees that plaintiff must advance to a local attorney in the standardized case, regardless of final reimbursement.",Ease of Doing Business ,,Enforcing contracts,,,Attorney fees (% of claim),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Court fees (% of claim),"The court fees include all costs that plaintiff must advance to the court, regardless of the final cost borne by plaintiff. Court costs include the fees that the parties must pay to obtain an expert opinion, regardless of whether they are paid to the court or to the expert directly.",Ease of Doing Business ,,Enforcing contracts,,,Court fees (% of claim),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Enforcement fees (% of claim),"The enforcement fees are all costs that plaintiff must advance to enforce the judgment through a public sale of defendant’s movable assets, regardless of the final cost borne by plaintiff.",Ease of Doing Business ,,Enforcing contracts,,,Enforcement fees (% of claim),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Quality of judicial processes index (0-18) (DB17-20 methodology),"The quality of judicial processes index is the sum of the court structure and proceedings, case management, court automation and alternative dispute resolution. The index is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Enforcing contracts,,,Quality of judicial processes index (0-18) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Score-Quality of judicial processes index (0-18) (DB17-20 methodology),"The score for quality of judicial processes index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Enforcing contracts,,,Score-Quality of judicial processes index (0-18),,Score,,,,,,,,,,,,,,,
Enforcing contracts,Court structure and proceedings (0-5) (DB17-20 methodology),"The court structure and proceedings evaluates five aspects of the court system: (i) whether a specialized commercial court, division or section is available; (ii) whether a small claims court and/or simplified procedure for small claims is available; (iii) whether pretrial attachment of defendant's movable assets is available; (iv) whether new cases are assigned randomly and through an automated system to judges; and (v) whether a woman’s testimony in court carries the same evidentiary weight as that of a man's. The index is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Enforcing contracts,,,Court structure and proceedings (0-5) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Case management (0-6) (DB17-20 methodology),The case management evaluates six aspects of the court case management system: (i) whether there are regulations setting time standards for key court events; (ii) whether there are regulations on adjournments and continuances; (iii) whether performance measurement reports are publicly available; (iv) whether a pretrial conference is available; (v) whether an electronic case management system for judges is available; and (vi) whether an electronic case management system for lawyers is available. The index is computed based on the methodology in the DB17-20 studies.,Ease of Doing Business ,,Enforcing contracts,,,Case management (0-6) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Court automation (0-4) (DB17-20 methodology),The court automation evaluates four aspects: (i) whether the initial complaint can be filed electronically; (ii) whether the initial complaint can be served electronically; (iii) whether court fees can be paid electronically; and (iv) whether judgments rendered in commercial matters are made available to the public. The index is computed based on the methodology in the DB17-20 studies.,Ease of Doing Business ,,Enforcing contracts,,,Court automation (0-4) ,,Score,,,,,,,,,,,,,,,
Enforcing contracts,Alternative dispute resolution (0-3) (DB17-20 methodology),"The alternative dispute resolution evaluates two aspects: (i) whether domestic commercial arbitration is regulated by law, all disputes can be submitted to arbitration and valid arbitration clauses are usually enforced by courts; and (ii) whether voluntary mediation and/or conciliation are a recognized way of resolving commercial disputes, they are regulated by law and there are financial incentives for parties to attempt mediation of conciliation. The index is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Enforcing contracts,,,Alternative dispute resolution (0-3) ,,Score,,,,,,,,,,,,,,,
Resolving insolvency,Rank-Resolving insolvency,The ranking of economies on the ease of resolving insolvency is determined by sorting their scores for resolving insolvency. ,Ease of Doing Business ,,Resolving insolvency,,,,,Rank,,,,,,,,,,,,,,,
Resolving insolvency,Score-Resolving insolvency,"The score for resolving insolvency is the simple average of the scores for each of the component indicators: the recovery rate of insolvency proceedings involving domestic entities, as well as the strength of the legal framework applicable to judicial liquidation and reorganization proceedings.",Ease of Doing Business ,,Resolving insolvency,,,,,Score,,,,,,,,,,,,,,,
Resolving insolvency,Outcome (0 as piecemeal sale and 1 as going concern),"Outcome records whether the case study company emerges from the proceedings as a going concern (1) or its assets are sold piecemeal (0). If the business continues operating, 100% of the company value is preserved. If the assets are sold piecemeal, the maximum amount that can be recovered is 70% of the value of the company.",Ease of Doing Business ,,Resolving insolvency,,,Outcome (0 as piecemeal sale and 1 as going concern),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Time (years),"The time to resolve insolvency captures the time for creditors to recover their credit and is recorded in calendar years. Potential delay tactics by the parties, such as the filing of dilatory appeals or requests for extension, are taken into consideration.",Ease of Doing Business ,,Resolving insolvency,,,Time (years),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Cost (% of estate),"The cost to resolve insolvency is the cost of the proceedings is recorded as a percentage of the value of the debtor’s estate, including court fees and government levies, fees of insolvency administrators, auctioneers, assessors and lawyers, and all other fees and costs.",Ease of Doing Business ,,Resolving insolvency,,,Cost (% of estate),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Recovery rate (cents on the dollar),"The recovery rate is recorded as cents on the dollar recovered by secured creditors through judicial reorganization, liquidation or debt enforcement (foreclosure or receivership) proceedings. The calculation takes into account the outcome: whether the business emerges from the proceedings as a going concern or the assets are sold piecemeal.",Ease of Doing Business ,,Resolving insolvency,,,Recovery rate (cents on the dollar),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Score-Recovery rate (cents on the dollar),"The score for recovery rate benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Resolving insolvency,,,Score-Recovery rate (cents on the dollar),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Strength of insolvency framework index (0-16),"The strength of insolvency framework index measures the legal framework applicable to judicial liquidation and reorganization proceedings and the extent to which best insolvency practices have been implemented in each economy covered by the Doing Business. This index ranges has four components, the commencement of proceedings index, management of debtor’s assets index, reorganization proceedings index and creditor participation index.",Ease of Doing Business ,,Resolving insolvency,,,Strength of insolvency framework index (0-16),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Score-Strength of insolvency framework index (0-16),"The score for strength of insolvency framework index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Resolving insolvency,,,Score-Strength of insolvency framework index (0-16),,Score,,,,,,,,,,,,,,,
Resolving insolvency,Commencement of proceedings index (0-3) (DB15-20 methodology),The commencement of proceedings index has three components: (i) whether debtors can initiate both liquidation and reorganization proceedings; (ii) whether creditors can initiate both liquidation and reorganization proceedings; and (iii) what standard is used for commence­ment of insolvency proceedings.,Ease of Doing Business ,,Resolving insolvency,,,Commencement of proceedings index (0-3) ,,Score,,,,,,,,,,,,,,,
Resolving insolvency,Management of debtor's assets index (0-6) (DB15-20 methodology),"The management of debtor's assets index has six components: (i) whether the debtor (or an insolvency representative on its behalf) can continue performing contracts essential to the debtor’s survival; (ii) whether the debtor (or an insolvency representative on its behalf) can reject overly burdensome contracts; (iii) whether undervalued transactions entered into before commencement of insolvency proceedings can be avoided after proceedings are initiated; (iv) whether transactions entered into before commencement of insolvency proceedings that give preference to one or several creditors can be avoided after proceedings are initiated; (v) whether the insolvency framework includes specific provisions that allow the debtor (or an insolvency representa­tive on its behalf), after commencement of insolvency proceedings, to obtain financing necessary to function during the proceedings; and (vi) whether post-commencement finance receives priority over ordinary unse­cured creditors during distribution of assets.",Ease of Doing Business ,,Resolving insolvency,,,Management of debtor's assets index (0-6) ,,Score,,,,,,,,,,,,,,,
Resolving insolvency,Reorganization proceedings index (0-3) (DB15-20 methodology),"The reorganization proceedings index has three components: (i) whether the reorganization plan is voted on only by the creditors whose rights are modified or affected by the plan; (ii) whether creditors entitled to vote on the plan are divided into classes, each class votes separately and the creditors within each class are treated equally; and (iii) whether the insolvency framework requires that dissenting creditors receive as much under the reorganization plan as they would have received in liquidation.",Ease of Doing Business ,,Resolving insolvency,,,Reorganization proceedings index (0-3) ,,Score,,,,,,,,,,,,,,,
Resolving insolvency,Creditor participation index (0-4) (DB15-20 methodology),"The creditor participation index has four components: (i) whether creditors appoint the insolvency representative or approve, ratify or reject the appointment of the insolvency representative; (ii) Whether creditors are required to approve the sale of substantial assets of the debtor in the course of insol­vency proceedings; (iii) Whether an individual creditor has the right to access financial information about the debtor during insolvency proceedings; and (iv) Whether an individual creditor can object to a decision of the court or of the insolvency representative to approve or reject claims against the debtor brought by the creditor itself and by other creditors.",Ease of Doing Business ,,Resolving insolvency,,,Creditor participation index (0-4) ,,Score,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
